N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
189;KFC 177 GUARDIA CIVIL ;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Jiron;GUARDIA CIVIL;Katherine Gutierrez
190;KFC 183 - MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA;Sheyda Florindez
191;KFC 186 HEROES;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;CINESTAR SUR EN SUB LOTE 16 ;Yeisll Diaz
192;CAR 1: AV. JAVIER PRADO OESTE 1650, S.I.;LIMA;SAN ISIDRO;OFICINA ;Avenida;JAVIER PRADO OESTE;Paola Mija
193;CAR 4: AV. PARDO 299, 2° PISO, MIRAFLORES;LIMA;MIRAFLORES;OFICINA ;Avenida;DOS DE MAYO;Paola Mija
194;CAR 6: AV.  DOS DE MAYO 1590, S.I.;LIMA;SAN ISIDRO;OFICINA ;Avenida;PARDO;Paola Mija
195;CAR 7: AV. LOS NOGALES 294, S. I.;LIMA;SAN ISIDRO;OFICINA ;Avenida;LOS NOGALES;Paola Mija
196;COCINA CENTRAL RANSA DELOSI ;CALLAO;CALLAO;ALMACEN ;Avenida;ARGENTINA;Mariaelena Quiroz
201;KF187 PORONGOCHE AQP;AREQUIPA;PAUCARPATA;RESTAURANTE\RESTAURANTE;Avenida;PORONGOCHE;Sheyda Florindez
202;KFC 189 ALAMEDA SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;CANTO GRANDE;Yeisll Diaz
203;KFC 190 OPEN PLAZA TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA;Sheyda Florindez
204;KFC 148 BAYOVAR ;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
205;DELOSI CALL CENTER ;LIMA;LIMA;OFICINA ;Avenida;AREQUIPA;Mariaelena Quiroz
206;KFC 188 METRO VENTANILLA;CALLAO;VENTANILLA;RESTAURANTE\RESTAURANTE;Avenida;NESTOR GAMBETA;Mariaelena Quiroz
