N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
12;CH 1 JOCKEY;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;SARA CORDERO
13;CH 2 OVALO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Plaza;AGUSTIN GUTIERREZ- CAVENECIA 106-110 - CONQUISTADORES 1090-1094;SARA CORDERO
14;CH 4 TAIPEI;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;SARA CORDERO
15;CH 5 MONITOR;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;LAS PLAMERAS;SARA CORDERO
16;CH 6 LARCO MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MALECON DE LA RESERVA;SARA CORDERO
17;CH 7 MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;SARA CORDERO
18;CH 8 PARQUE ARAUCO;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;LAMBRAMANI;Sheyda Florindez
19;CH 9 PRIMAVERA CON VELASCO A;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALEJANDRO VELASCO ASTETE ;SARA CORDERO
20;CH 10 PARDO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE PARDO;SARA CORDERO
21;CH 11 OPEN PLAZA PIURA ;PIURA;CASTILLA;RESTAURANTE\RESTAURANTE;Avenida;CACERES;Sheyda Florindez
22;CH 12 AVENTURA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;SARA CORDERO
23;CH 13 CC SAN BORJA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;PERÍMETRO ENCERRADO POR LA JAVIER PRADO OESTE, CALLE CARPACCIO Y CALLE UCELLO;SARA CORDERO
24;CH 14 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE;Sheyda Florindez
25;CH 15 C.C. CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA;SARA CORDERO
26;CH 17 DOS DE MAYO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;DOS DE MAYO;SARA CORDERO
27;CH 18 CC REAL PZA. CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Calle;MARISCAL ANDRÉS AVELINO CÁCERES ;Sheyda Florindez
28;CH 19 CC REAL PZA. CUZCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez
29;CH 20 CC PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;SARA CORDERO
30;CH 21 CC MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA ;SARA CORDERO
31;CH 22 CC OPEN PLAZA ANGAMOS;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO ;SARA CORDERO
32;CH 23 PLAZA LIMA SUR;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPÚBLICA;SARA CORDERO
33;CH 24 CC. OPEN PLAZA HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
34;CH 26 C.C. REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;SARA CORDERO
35;CH 27 BAJADA BALTA;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Malecon;BALTA;SARA CORDERO
36;CH 3 SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Calle;MANTARO;SARA CORDERO
37;CH 28 RIVERA NAVARRETE;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;RICARDO RIVERA NAVERRETE;SARA CORDERO
38;CH 29 CC EL POLO;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Jiron;CENTRO COMERCIAL EL POLO ;SARA CORDERO
39;CH 16 C.C. AVENTURA BELLAVISTA;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;OSCAR R. BENAVIDES ;SARA CORDERO
40;CH 31 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;SARA CORDERO
44;CH 25 LA RAMBLA BRASIL;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;BRASIL ;SARA CORDERO
45;CH 32 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA;Sheyda Florindez
46;CHILIS35 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;SARA CORDERO
47;KFC 3 AVIACIÓN;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;AVIACION;Yeisll Diaz
48;KFC 4 SAN ISIDRO CAR 1;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO OESTE;Paola Mija
49;KFC 5 BENAVIDES;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Yeisll Diaz
50;KFC 6 LARCO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE A. LARCO;Katherine Gutierrez
51;KFC 7 CAMACHO;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO;Mariaelena Quiroz
52;KFC 9 ESPINAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;COMANDANTE ESPINAR;Katherine Gutierrez
53;KFC 10 CC LA RAMBLA FREE STANDING ;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Jiron;CARPACCIO;Yeisll Diaz
54;KFC 11 SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Jiron;LA MARINA ;Mariaelena Quiroz
55;KFC 14 LA MOLINA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;RAÚL FERRERO;Mariaelena Quiroz
56;KFC 15 JR. DE LA UNIÓN;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Jiron;DE LA UNIÓN;Yeisll Diaz
57;KFC 17 PRIMAVERA ;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PRIMAVERA ;Yeisll Diaz
58;KFC 18 JOCKEY PH14;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz
59;KFC 19 CANADÁ PH 12;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Avenida;CANADA;Yeisll Diaz
60;KFC 20 SUCRE PH 13;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTIN;Katherine Gutierrez
61;KFC 21 ARMENDARIZ PH 15;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ARMENDARIZ;Katherine Gutierrez
62;KFC 22 SANTA ANITA PH 17;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Calle;ESQUINA .LOS RUISEÑORES Y CALLE LAS ALONDRAS;Yeisll Diaz
63;KFC 24 SAGA SAN ISIDRO  PH 18;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;LAS BEGONIAS;Yeisll Diaz
64;KFC 25 LARCO MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Malecon;DE LA RESERVA;Katherine Gutierrez
65;KFC 26 LIMATAMBO;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;Yeisll Diaz
66;KFC 27 SAGA AREQUIPA;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;CALLE ARCES SAGAFALABELLA CAYMA ;Sheyda Florindez
67;KFC 28 ROYAL PLAZA PH 26;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;CARLOS IZAGUIRRE;Paola Mija
68;KFC 29 FOOD COURT MEGA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;CENTRO COMERCIAL MEGAPLAZA, AV. ALFREDO MENDIOLA;Paola Mija
69;KFC 30 MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Paola Mija
70;KFC 31 FC CÁNEPA;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Avenida;ANTONIO BAZO ;Yeisll Diaz
71;KFC 34 CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
72;KFC 35 LIMA SUR CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
73;KFC 36 PLAZA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;M. DE CERVANTES;Sheyda Florindez
74;KFC 37 TAIPEI;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE A. ENCINAS;Katherine Gutierrez
75;KFC 38 SAN LUIS;LIMA;SAN LUIS;RESTAURANTE\RESTAURANTE;Avenida;CANADA;Yeisll Diaz
76;KFC 39 FAUCETT CALLAO PHD 8;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT;Mariaelena Quiroz
77;KFC 40 COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;TUPAC AMARU;Paola Mija
78;KFC 42 TELLO;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;REPUBLICA DE PANAMA;Yeisll Diaz
79;KFC 43 SODIMAC;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;Yeisll Diaz
80;KFC 45 PEZET;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;PEZET, GENERAL JUAN ANTONIO;Yeisll Diaz
81;KFC 46 SAN JUAN ;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;SAN JUAN;Yeisll Diaz
82;KFC 48 REAL PLAZA ;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;CESAR VALLEJO OESTE;Sheyda Florindez
83;KFC 49 MALL PLAZA;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE ;Sheyda Florindez
84;KFC 50 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;CIRCUNVALACION;Yeisll Diaz
85;KFC 51 TOMÁS VALLE;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;TOMAS VALLE;Mariaelena Quiroz
86;KFC 52 HABICH;LIMA;SAN MARTIN DE PORRES;RESTAURANTE\RESTAURANTE;Avenida;DE HABICH EDUARDO;Paola Mija
87;KFC 53 SURQUILLO ;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;Yeisll Diaz
88;KFC 55 HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL, REAL PLAZA ;Sheyda Florindez
89;KFC 56 CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA,C.C CENTRO CIVICO ;Yeisll Diaz
90;KFC 57 ICA;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTIN ;Sheyda Florindez
91;KFC 58 MINKA CALLAO;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ARGENTINA - MINKA;Mariaelena Quiroz
92;KFC 59 CONTISUYO;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT;Mariaelena Quiroz
93;KFC 60 OPEN PLAZA MARSANO;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO;Yeisll Diaz
94;KFC 61 PARQUE ARAUCO AREQUIPA;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;LAMBRAMANI;Sheyda Florindez
95;KFC 62 METRO BREÑA;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;IQUIQUE;Mariaelena Quiroz
96;KFC 63  MERCADERES AREQUIPA;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Calle;CALLE MERCADERES;Sheyda Florindez
97;KFC 64 OPEN PLAZA PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;CACERES OPEN PLAZA;Sheyda Florindez
98;KFC 65 PLAZA SOL DE HUACHO;HUAURA;HUACHO;RESTAURANTE\RESTAURANTE;Avenida;CALLE COLON;Sheyda Florindez
99;KFC 66 REP DOMINICANA;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;REPUBLICA DOMINICANA ;Mariaelena Quiroz
100;KFC 67 ARZOBISPADO DEL CUSCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Calle;PORTAL CARNES;Sheyda Florindez
101;KFC 68 LINCE/BERNARDO ALCEDO;LIMA;LINCE;RESTAURANTE\RESTAURANTE;Avenida;AREQUIPA;Katherine Gutierrez
102;KFC 69 BOLIVAR;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Avenida;SIMON BOLIVAR;Katherine Gutierrez
103;KFC 70 UNIVERSITARIA;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;UNIVERSITARIA;Mariaelena Quiroz
104;KFC 72 CAVENECIA ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;EMILIO CAVENECIA;Katherine Gutierrez
105;KFC 73 PARQUE AGUSTINO;LIMA;EL AGUSTINO;RESTAURANTE\RESTAURANTE;Jiron;ANCASH;Yeisll Diaz
106;KFC 74 EL QUINDE;CAJAMARCA;CAJAMARCA;RESTAURANTE\RESTAURANTE;Jiron;SOR MANUELA GIL ;Sheyda Florindez
107;KFC 75 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Paola Mija
108;KFC 76 BELLAVISTA;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;OSCAR R. BENAVIDES ;Mariaelena Quiroz
109;KFC 77 PLAZA DE LA LUNA  ;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;GRAU - CENTRO COMERCIAL PLAZA DE LA LUNA PIURA;Sheyda Florindez
110;KFC 79 MEGA EXPRESS V. EL SALVADOR;LIMA;VILLA EL SALVADOR;RESTAURANTE\RESTAURANTE;Carretera;CAR, ANTIGUA PANAMERICANA SUR MZA. 29, LURÍN 15841;Yeisll Diaz
111;KFC 80 REAL PLAZA PRO ;LIMA;SAN MARTIN DE PORRES;RESTAURANTE\RESTAURANTE;Avenida;REAL PLAZA ALFREDO MENDIOLA ;Paola Mija
112;KFC 81 MEGA PLAZA CHIMBOTE ;SANTA;CHIMBOTE;RESTAURANTE\RESTAURANTE;Avenida;V. R. H. DE LA TORRE;Sheyda Florindez
