Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS
SB 117 REAL PLAZA HUÁNUCO;HUANUCO;HUANUCO;Jiron;INDEPENDENCIA ;Sheyda Florindez
KFC 204 CC MOLINA PLAZA ;LIMA ;LA MOLINA;Avenida ;RAUL FERRERO ;Mariaelena Quiroz
KFC 213 TOTTUS SULLANA;SULLANA;SULLANA;Avenida;PANAMERICANA;Sheyda Florindez
KFC 210 PORTAL PIZARRO;TRUJILLO;TRUJILLO;Jiron;PIZARRO;Sheyda Florindez
SB 144 PORTAL PIZARRO;TRUJILLO;TRUJILLO;JIRON ;PIZARRO;Sheyda Florindez
KFC 206 - PUNTA MAR;LIMA;PUNTA HERMOSA;Carretera;ANTIGUA PANAMERICANA SUR;Yeisll Diaz
KFC 209 - MEGA PLAZA ICA II;ICA;ICA;Avenida;LOS MAESTROS;Sheyda Florindez
KFC 219 - MALL DEL SUR 3;LIMA;SAN JUAN DE MIRAFLORES;Avenida;LOS LIRIOS;Yeisll Diaz
KFC 221 - MEGA PLAZA VES 2;LIMA;VILLA EL SALVADOR ;Avenida;PRIMERO DE MAYO ;Yeisll Diaz
KFC 196 - METRO BREÑA;LIMA;BREÑA;Avenida;ALFONSO UGARTE;Mariaelena Quiroz
KFC 212 - IL REAL PLAZA CUSCO ;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez
KFC 222 - PATIO CENCOSUD LA MOLINA;LIMA;LA MOLINA;Avenida;RAUL FERRERO;Mariaelena Quiroz
